#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-09-11T18:58:42 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)
#INFO	-ref=VIZ5b9803da1060
#INFO	-out.max=unlimited
#INFO	queryParameters=22
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:B/cb&tab:{B/cb/cbdata}&key:source=B/cb/cbdata&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=B/cb/cbdata
#-order=I
#-out=Name
#-out=AltName
#-out=RAJ2000
#-out=DEJ2000
#-out=Type1
#-out=Type2
#-out=mag1
#-out=Orb.Per
#-out=SpType2
#-out=SpType1
#-out=Refs
#Refs=Refs
#Simbad=Simbad
#

#RESOURCE=yCat_102018
#Name: B/cb
#Title: Cataclysmic Binaries, LMXBs, and related objects (Ritter+, 2004)
#Table	B_cb_cbdata:
#Name: B/cb/cbdata
#Title: Catalogue of Cataclysmic Binaries
#Column	Name	(a12)	Object name (G1)	[ucd=meta.id,meta.main]
#Column	AltName	(a12)	A frequently used alternative name	[ucd=meta.id]
#Column	RAJ2000	(A10)	Right Ascension J2000	[ucd=pos.eq.ra,meta.main]
#Column	DEJ2000	(A9)	Declination J2000	[ucd=pos.eq.dec,meta.main]
#Column	Type1	(A2)	Object type (3)	[ucd=src.class]
#Column	Type2	(A2)	Object type (3)	[ucd=src.class]
#Column	mag1	(F4.1)	? Apparent V (or B, b, F, g, I, J, j, K, p, R, r, v, w = "white light") magnitude at maximum brightness (4)	[ucd=phot.mag,em.opt.V]
#Column	Orb.Per	(F9.6)	? Orbital period (in days)	[ucd=time.period]
#Column	SpType2	(A7)	Spectral type of the secondary (G6)	[ucd=src.spType]
#Column	SpType1	(a7)	Spectral type of the primary (G6)	[ucd=src.spType]
#Column	Refs	(A4)	VizieR added column, not part of original data	[ucd=meta.ref.url]
# , ,"h:m:s","d:m:s", , ,mag,d, , ,
Name,AltName,RAJ2000,DEJ2000,Type1,Type2,mag1,Orb_Per,SpType2,SpType1,Refs
V3885 Sgr   ,CD -42 14462,19 47 40.5,-42 00 26,NL,UX, 9.6, 0.207161,       ,       ,Refs
V446 Her    ,N Her 1960  ,18 57 21.6,+13 14 29,Na,DN,17.6, 0.207000,       ,       ,Refs
V495 Hya    ,            ,08 44 00.1,+02 39 19,DN,  ,18.3, 0.207000,M1-4/5 ,       ,Refs
V825 Her    ,PG 1717+413 ,17 18 37.0,+41 15 51,NL,  ,14.1, 0.206000,       ,       ,Refs
J0808+3131  ,            ,08 08 46.2,+31 31 06,DN,UG,19.4, 0.205900,       ,       ,Refs
J0911+0841  ,            ,09 11 27.4,+08 41 41,DN,  ,19.7, 0.205400,M2/5   ,       ,Refs
T Aur       ,N Aur 1891  ,05 31 59.1,+30 26 45,Nb,  ,14.9, 0.204378,       ,       ,Refs
J2138+2638  ,            ,21 38 05.0,+26 38 20,DN,UG,17.8, 0.202200,K2-6/5 ,       ,Refs
FO Aqr      ,H 2215-086  ,22 17 55.4,-08 21 05,NL,IP,12.7, 0.202060,       ,       ,Refs
AT Cnc      ,Ton 323     ,08 28 36.9,+25 20 03,DN,ZC,15.3, 0.201100,K7-M0/5,       ,Refs
HX Peg      ,PG 2337+123 ,23 40 23.7,+12 37 42,DN,ZC,15.8, 0.200800,K/6    ,       ,Refs
CZ Aql      ,            ,19 19 58.2,-07 10 55,DN,NL,14.6, 0.200500,       ,       ,Refs
V895 Cen    ,J1429-3804  ,14 29 27.2,-38 04 10,NL,AM,16.5, 0.198553,       ,       ,Refs
V345 Pav    ,EC 1931-5915,19 35 43.0,-59 08 22,NL,UX,13.4, 0.198096,       ,       ,Refs
J1822-2956  ,            ,18 22 16.2,-29 56 40,DN,  ,18.4, 0.197797,       ,       ,Refs
MU Cam      ,J0625+7334  ,06 25 16.2,+73 34 40,NL,IP,14.4, 0.196854,       ,       ,Refs
UX UMa      ,            ,13 36 41.0,+51 54 50,NL,UX,12.5, 0.196671,M0-4/5 ,       ,Refs
V433 Ara    ,            ,17 00 06.1,-57 51 52,NL,VY,16.8, 0.195730,       ,       ,Refs
LS IV -08 3 ,            ,16 56 29.6,-08 34 39,NL,UX,11.5, 0.195289,       ,       ,Refs
V363 Lyr    ,            ,19 08 51.6,+43 00 32,DN,UG,19.5, 0.195000,       ,       ,Refs
CT Ser      ,N Ser 1948  ,15 45 39.1,+14 22 33,N ,  ,16.3, 0.195000,       ,       ,Refs
NGC 104-CV3 ,V3 (47 Tuc) ,00 24 06.2,-72 04 43,NL,AM,23.1, 0.194490,       ,       ,Refs
2325+8205   ,            ,23 26 50.5,+82 22 11,DN,ZC,16.4, 0.194335,M2-4/5 ,       ,Refs
J1814-2847  ,            ,18 14 33.0,-28 47 35,NL,UX,19.5, 0.194257,       ,       ,Refs
IX Vel      ,CPD -48 1577,08 15 18.9,-49 13 18,NL,UX, 9.0, 0.193927,       ,       ,Refs
DQ Her      ,N Her 1934  ,18 07 30.4,+45 51 32,Na,DQ,14.2, 0.193621,M3/5   ,       ,Refs
J0107+4845  ,            ,01 07 42.8,+48 45 19,NL,SW,14.9, 0.193598,       ,       ,Refs
AI Tri      ,J0203+2959  ,02 03 48.6,+29 59 26,NL,AM,14.7, 0.191746,M2.5/5 ,       ,Refs
V825 Sco    ,N Sco 1964  ,17 49 53.8,-33 32 13,N ,  ,17.8, 0.191659,       ,       ,Refs
BI Ori      ,            ,05 23 51.8,+01 00 30,DN,UG,17.0, 0.191500,       ,       ,Refs
J1745-3746  ,            ,17 45 15.6,-37 46 28,NL,UX,18.9, 0.189915,       ,       ,Refs
V416 Dra    ,            ,18 57 20.4,+71 31 19,DN,UG,17.2, 0.189109,       ,       ,Refs
CG Dra      ,            ,19 07 32.8,+52 58 29,DN,UG,17.4, 0.188640,K5-7/5 ,       ,Refs
V539 Vel    ,            ,09 44 09.4,-56 17 11,NL,SW,17.5, 0.187934,       ,       ,Refs
V697 Sco    ,N Sco 1941  ,17 51 21.8,-37 24 55,Na,IP,20.0, 0.187000,       ,       ,Refs
HM Leo      ,Leo 7       ,09 38 37.0,+07 14 55,DN,  ,17.5, 0.186800,M2-4/5 ,       ,Refs
J2047+0000  ,            ,20 47 20.8,+00 00 08,CV,DN,20.0, 0.186444,       ,       ,Refs
J1006+2337  ,            ,10 06 58.4,+23 37 24,DN,UG,18.5, 0.185913,M3/5   ,       ,Refs
HH Cnc      ,            ,09 16 50.7,+28 49 43,DN,UG,19.5, 0.184500,M2-4/5 ,       ,Refs
HY Leo      ,            ,09 46 34.5,+13 50 58,NL,IP,15.8, 0.184160,       ,       ,Refs
V1323 Her   ,            ,18 03 39.7,+40 12 21,NL,IP,17.0, 0.183400,       ,       ,Refs
J0649-0737  ,            ,06 49 50.8,-07 37 41,NL,AM,18.0, 0.183000,       ,       ,Refs
J1959+5625  ,            ,19 59 19.4,+56 25 21,DN,Nr,19.7, 0.183000,       ,       ,Refs
MQ Dra      ,J1553+5516  ,15 53 31.1,+55 16 15,NL,AM,17.3, 0.182970,M5/5   ,       ,Refs
J1810-3052  ,            ,18 10 46.6,-30 52 32,DN,  ,19.2, 0.182941,       ,       ,Refs
SS Aur      ,            ,06 13 22.4,+47 44 26,DN,UG,15.0, 0.182800,M3-5/5 ,       ,Refs
TW Vir      ,PG 1142-041 ,11 45 21.1,-04 26 06,DN,UG,16.3, 0.182670,M5-6/5 ,       ,Refs
V418 Gem    ,            ,07 04 08.7,+26 25 11,NL,IP,16.7, 0.182100,       ,       ,Refs
V2306 Cyg   ,J1958+3232  ,19 58 14.5,+32 32 42,NL,IP,15.7, 0.181545,       ,       ,Refs
V542 Cyg    ,            ,19 49 10.5,+58 31 59,DN,UG,18.3, 0.181500,       ,       ,Refs
V795 Cyg    ,            ,19 34 34.1,+31 32 12,DN,UG,18.4, 0.181300,M2-5/5 ,       ,Refs
GI Mon      ,            ,07 26 47.1,-06 40 30,Na,IP,16.1, 0.180200,       ,       ,Refs
BD Pav      ,            ,18 43 11.9,-57 30 44,DN,UG,15.4, 0.179301,M5-8/5:,       ,Refs
V513 Peg    ,            ,22 16 31.2,+29 00 21,DN,UG,15.5, 0.179200,M2-4   ,       ,Refs
V400 Per    ,N Per 1974  ,03 07 38.3,+47 07 40,Na,  ,19.0, 0.179000,       ,       ,Refs
J1806-2907  ,            ,18 06 24.4,-29 07 45,NL,UX,17.4, 0.178432,       ,       ,Refs
J1037-6249  ,            ,10 37 28.4,-62 49 29,DN,UG,20.2, 0.177939,       ,       ,Refs
V405 Peg    ,J2309+2135  ,23 09 49.2,+21 35 18,DN,  ,17.9, 0.177647,M3-5/5 ,       ,Refs
U Gem       ,            ,07 55 05.3,+22 00 06,DN,UG,13.9, 0.176906,M6/5   ,       ,Refs
ES Dra      ,PG 1524+622 ,15 25 31.8,+62 01 00,DN,ZC,16.2, 0.176600,M1-3/5 ,       ,Refs
CW Mon      ,            ,06 36 54.5,+00 02 16,DN,UG,16.8, 0.176600,M3/5   ,       ,Refs
NGC 104-W15 ,            ,00 24 08.3,-72 05 00,CV,  ,22.5, 0.176400,       ,       ,Refs
J1754-3157  ,            ,17 54 32.5,-31 57 52,NL,UX,18.2, 0.176348,       ,       ,Refs
UZ Ser      ,            ,18 11 24.9,-14 55 34,DN,ZC,16.2, 0.175890,       ,       ,Refs
WW Cet      ,            ,00 11 24.8,-11 28 43,DN,ZC,13.9, 0.175800,M2.5/5 ,       ,Refs
V504 Cen    ,            ,14 12 49.1,-40 21 37,NL,VY,12.0, 0.175567,M2-4/5 ,       ,Refs
GY Cnc      ,J0909+1849  ,09 09 50.6,+18 49 47,DN,UG,15.5, 0.175442,M3/5   ,       ,Refs
V436 Car    ,J0744-5257  ,07 44 57.9,-52 57 13,NL,  ,14.4, 0.175300,       ,       ,Refs
J2048+0050  ,            ,20 48 27.9,+00 50 09,NL,AM,19.4, 0.175000,M3/5   ,       ,Refs
LS Peg      ,S 193       ,21 51 57.9,+14 06 54,NL,IP,11.6, 0.174774,       ,       ,Refs
V1043 Cen   ,J1313-3259  ,13 13 17.1,-32 59 12,NL,AM,14.6, 0.174592,M2-3/5 ,       ,Refs
V729 Sgr    ,            ,19 16 49.2,-26 14 33,DN,  ,14.4, 0.173406,       ,       ,Refs
V849 Oph    ,N Oph 1919  ,18 14 07.3,+11 36 43,Nb,  ,17.9, 0.172757,       ,       ,Refs
V405 Aur    ,J0558+5353  ,05 57 59.3,+53 53 45,NL,IP,13.9, 0.172620,       ,       ,Refs
J0035+4623  ,            ,00 35 35.7,+46 23 53,DN,  ,16.0, 0.172275,       ,       ,Refs
0035-7230   ,            ,00 37 19.8,-72 14 14,SS,EG,20.2, 0.172000,       ,       ,Refs
FO Per      ,            ,04 08 35.0,+51 14 48,DN,UG,17.3, 0.171900,       ,       ,Refs
J2216+4646  ,            ,22 16 50.3,+46 46 41,NL,IP,14.0, 0.171802,       ,       ,Refs
V516 Cyg    ,            ,20 47 09.8,+41 55 27,DN,UG,17.7, 0.171200,       ,       ,Refs
LT Eri      ,            ,04 07 14.8,-06 44 25,DN,NS,17.1, 0.170170,       ,       ,Refs
NGC 6752-CX1,J1910-5959#2,19 10 51.1,-59 59 12,DN,  ,19.5, 0.170000,       ,       ,Refs
J0927-3910  ,            ,09 27 51.9,-39 10 52,  ,  ,16.4, 0.170000,       ,       ,Refs
LZ Mus      ,N Mus 1998  ,11 56 09.0,-65 34 21,N ,  ,18.0, 0.169300,       ,       ,Refs
0139+0559   ,            ,01 41 40.0,+06 14 37,NL,UX,15.3, 0.169200,       ,       ,Refs
VW Vul      ,            ,20 57 45.1,+25 30 26,DN,ZC,16.3, 0.168700,       ,       ,Refs
J1758-3119  ,            ,17 58 54.1,-31 19 01,DN,  ,17.0, 0.168325,       ,       ,Refs
0922+1333   ,            ,09 24 56.0,+13 20 53,NL,AM,17.0, 0.168312,M3.5/5 ,       ,Refs
V1033 Cas   ,            ,00 22 57.6,+61 41 08,NL,IP,16.6, 0.168000,       ,       ,Refs
DO Aql      ,N Aql 1925  ,19 31 25.9,-06 25 38,Nc,  ,17.8, 0.167762,       ,       ,Refs
J1923+6124  ,            ,19 23 28.3,+61 24 13,  ,  ,17.5, 0.167700,       ,       ,Refs
J1753-2134  ,            ,17 53 26.4,-21 34 05,NL,UX,18.9, 0.167116,       ,       ,Refs
J1831+6511  ,            ,18 31 44.5,+65 11 32,DN,  ,15.9, 0.167000,       ,       ,Refs
J1719-4100  ,            ,17 19 35.9,-41 00 54,NL,IP,15.3, 0.166900,       ,       ,Refs
J1856+4537  ,            ,18 56 08.1,+45 37 40,DN,  ,15.2, 0.165940,M/5    ,DA     ,Refs
DO Dra      ,PG 1140+719 ,11 43 38.3,+71 41 20,DN,IP,14.0, 0.165374,M3-5/5 ,       ,Refs
J1927+4447  ,            ,19 27 48.5,+44 47 25,DN,  ,18.8, 0.165308,       ,       ,Refs
AM Cas      ,            ,02 26 23.4,+71 18 32,DN,UG,15.2, 0.165200,       ,       ,Refs
V1193 Ori   ,            ,05 16 26.7,-00 12 14,NL,UX,13.7, 0.165001,       ,       ,Refs
J2200+0334  ,            ,22 00 31.2,+03 34 30,DN,ZC,19.3, 0.165000,       ,       ,Refs
V1776 Cyg   ,Lanning 90  ,20 23 30.5,+46 31 30,NL,UX,16.2, 0.164739,       ,       ,Refs
X Leo       ,            ,09 51 01.5,+11 52 31,DN,UG,15.8, 0.164400,M2-3/5 ,       ,Refs
J0153+7446  ,            ,01 53 20.9,+74 46 22,NL,IP,16.4, 0.164150,       ,       ,Refs
Lanning 386 ,            ,21 08 34.0,+39 05 35,DN,SW,17.4, 0.164052,M2-4/5 ,       ,Refs
V842 Cen    ,N Cen 1986#2,14 35 52.6,-57 37 35,Na,NL,16.3, 0.164000,       ,       ,Refs
UU Aqr      ,S 196       ,22 09 05.7,-03 46 18,NL,UX,13.3, 0.163805,K7-M0/5,       ,Refs
J1305-5755  ,            ,13 05 59.5,-57 55 00,  ,  ,17.2, 0.163700,       ,       ,Refs
UU Aql      ,            ,19 57 18.7,-09 19 21,DN,UG,16.0, 0.163532,M4/5   ,       ,Refs
J0940+2749  ,            ,09 40 02.6,+27 49 42,DN,UG,17.5, 0.163520,       ,       ,Refs
J2152+19    ,            ,21 52 00.0,+19 00 00,NL,IP,16.0, 0.163201,       ,       ,Refs
CN Ori      ,            ,05 52 07.8,-05 25 01,DN,UG,16.5, 0.163199,M4/5   ,       ,Refs
AR And      ,            ,01 45 03.3,+37 56 33,DN,UG,16.9, 0.163000,       ,       ,Refs
KR Aur      ,            ,06 15 43.9,+28 35 09,NL,VY,12.7, 0.162800,       ,       ,Refs
KT Per      ,            ,01 37 08.7,+50 57 20,DN,UG,15.6, 0.162658,M3/5   ,       ,Refs
CM Del      ,            ,20 24 56.9,+17 17 54,NL,UX,13.4, 0.162000,       ,       ,Refs
V367 Peg    ,            ,22 45 00.7,+16 55 14,DN,  ,18.2, 0.161900,       ,       ,Refs
0229+8016   ,            ,02 35 58.3,+80 29 44,NL,UX,14.0, 0.161490,       ,       ,Refs
J1820-2414  ,            ,18 20 38.4,-24 14 31,NL,UX,18.1, 0.161329,       ,       ,Refs
J1804-2659  ,            ,18 04 16.6,-26 59 10,NL,UX,18.8, 0.161177,       ,       ,Refs
VZ Aqr      ,            ,21 30 24.6,-02 59 18,DN,UG,18.0, 0.160600,M1-4/5 ,       ,Refs
J2337+4308  ,            ,23 37 59.2,+43 08 52,NL,VY,16.4, 0.160500,       ,       ,Refs
J1930+5157  ,            ,19 30 59.2,+51 57 36,DN,UG,20.2, 0.160100,       ,       ,Refs
J0812+1911  ,            ,08 12 56.8,+19 11 58,NL,NS,15.8, 0.160053,       ,       ,Refs
V4077 Sgr   ,N Sgr 1982  ,18 34 39.4,-26 26 03,Nb,  ,21.0, 0.160000,       ,       ,Refs
J1446+0253  ,            ,14 47 00.0,+02 53 30,NL,IP,17.9, 0.160000,       ,       ,Refs
V2467 Cyg   ,N Cyg 2007  ,20 28 12.5,+41 48 36,Na,NL,20.0, 0.159600,       ,       ,Refs
CY Lyr      ,            ,18 52 41.4,+26 45 30,DN,UG,17.0, 0.159100,M3.5/5 ,       ,Refs
J1751-3516  ,            ,17 51 42.8,-35 16 35,NL,UX,17.8, 0.158999,       ,       ,Refs
VY For      ,0329-2607   ,03 32 04.6,-25 56 56,NL,AM,17.5, 0.158600,M4.5/5 ,       ,Refs
LX Ser      ,            ,15 38 00.1,+18 52 03,NL,VY,14.1, 0.158432,M2/5   ,       ,Refs
IP Peg      ,            ,23 23 08.6,+18 24 59,DN,UG,14.0, 0.158206,M3-4/5 ,       ,Refs
V382 Vel    ,N Vel 1999  ,10 44 48.4,-52 25 31,Na,  ,16.6, 0.158100,       ,       ,Refs
V523 Lyr    ,NGC 6791-V15,19 21 07.5,+37 47 57,NL,VY,17.7, 0.158000,       ,       ,Refs
J0227+1306  ,            ,02 27 32.9,+13 06 17,NL,AM,17.0, 0.157799,       ,       ,Refs
J1040-4701  ,            ,10 40 00.0,-47 01 26,NL,  ,16.0, 0.157700,       ,       ,Refs
J1740-2418  ,            ,17 40 48.9,-24 18 34,NL,AM,17.5, 0.157370,       ,       ,Refs
J2108-0350  ,            ,21 08 46.4,-03 50 32,DN,UG,17.5, 0.156927,       ,       ,Refs
0642+5049   ,            ,06 46 19.6,+50 45 48,NL,UX,15.3, 0.156900,       ,       ,Refs
J1031-4626  ,            ,10 31 35.0,-46 26 39,NL,  ,17.0, 0.156700,       ,       ,Refs
V5582 Sgr   ,N Sgr 2009#2,17 45 05.4,-20 03 22,N ,  ,19.4, 0.156604,       ,       ,Refs
V811 Cyg    ,            ,19 48 23.3,+36 26 23,DN,UG,17.2, 0.156560,       ,       ,Refs
V1493 Aql   ,N Aql 1999#1,19 07 36.9,+12 31 27,Na,  ,21.0, 0.156000,       ,       ,Refs
SV CMi      ,            ,07 31 08.4,+05 58 49,DN,UG,16.3, 0.156000,       ,       ,Refs
BH Lyn      ,PG 0818+513 ,08 22 36.0,+51 05 25,NL,SW,13.7, 0.155875,       ,       ,Refs
V447 Lyr    ,            ,19 00 19.9,+44 27 45,DN,UG,21.0, 0.155627,       ,       ,Refs
J0449-1841  ,            ,04 49 02.7,-18 41 29,DN,  ,17.7, 0.155540,       ,       ,Refs
J1424-0227  ,            ,14 24 39.0,-02 27 39,NL,AM,19.6, 0.155500,       ,       ,Refs
OY Ara      ,N Ara 1910  ,16 40 50.3,-52 25 51,Na,SW,18.7, 0.155466,       ,       ,Refs
GS Pav      ,            ,20 08 07.6,-69 48 58,NL,VY,14.9, 0.155270,       ,       ,Refs
IW And      ,            ,01 01 08.9,+43 23 26,DN,ZC,17.5, 0.155000,       ,       ,Refs
PY Per      ,            ,02 50 00.1,+37 39 23,DN,ZC,19.8, 0.154800,       ,       ,Refs
J1654-1916  ,            ,16 54 43.7,-19 16 31,NL,IP,15.6, 0.154800,       ,       ,Refs
QQ Vul      ,1E 2003+225 ,20 05 41.9,+22 39 59,NL,AM,14.2, 0.154520,M4/5   ,       ,Refs
2117-5417   ,            ,21 21 26.6,-54 04 34,NL,  ,13.7, 0.154500,       ,       ,Refs
J1226-2527  ,            ,12 26 17.3,-25 27 04,DN,  ,16.7, 0.154400,       ,       ,Refs
J2340+7642  ,            ,23 40 20.6,+76 42 11,NL,AM,16.0, 0.154200,       ,       ,Refs
V380 Oph    ,            ,17 50 13.7,+06 05 29,NL,VY,14.3, 0.154107,       ,       ,Refs
BB Dor      ,0528-5857   ,05 29 28.7,-58 54 46,NL,SW,14.0, 0.154095,M3-4/5 ,       ,Refs
V373 Sct    ,N Sct 1975  ,18 55 26.7,-07 43 06,Na,IP,18.4, 0.154000,       ,       ,Refs
LD 317      ,            ,23 44 57.4,+43 31 22,NL,VY,12.6, 0.154000,       ,       ,Refs
0758+4019   ,            ,08 02 15.3,+40 10 46,NL,  ,16.7, 0.153900,       ,       ,Refs
WY Sge      ,N Sge 1783  ,19 32 43.8,+17 44 55,N ,DN,19.0, 0.153635,M4/5   ,       ,Refs
V992 Sco    ,N Sco 1992  ,17 07 17.5,-43 15 22,Nb,  ,17.0, 0.153580,       ,       ,Refs
V4579 Sgr   ,N Sgr 1986  ,18 03 37.9,-28 00 09,Nb,  ,16.2, 0.153561,       ,       ,Refs
J1129-5355  ,            ,11 29 21.7,-53 55 44,NL,  ,16.3, 0.153550,       ,       ,Refs
BZ Cam      ,0623+71     ,06 29 34.0,+71 04 37,NL,VY,12.0, 0.153530,       ,       ,Refs
V794 Aql    ,            ,20 17 34.0,-03 39 51,NL,VY,13.3, 0.153300,       ,       ,Refs
J1024-4826  ,            ,10 24 42.0,-48 26 43,  ,  ,15.6, 0.153000,       ,       ,Refs
BP Lyn      ,PG 0859+415 ,09 03 08.9,+41 17 48,NL,UX,14.5, 0.152812,       ,       ,Refs
AB Dra      ,            ,19 49 06.5,+77 44 24,DN,UG,14.5, 0.152000,       ,       ,Refs
V999 Sgr    ,N Sgr 1910  ,18 00 05.6,-27 33 14,Nb,  ,16.3, 0.151841,       ,       ,Refs
LX And      ,            ,02 19 44.1,+40 27 22,DN,UG,16.9, 0.150974,       ,       ,Refs
J1649-3307  ,            ,16 49 55.6,-33 07 02,NL,IP,15.9, 0.150700,       ,       ,Refs
V5113 Sgr   ,N Sgr 2003#2,18 10 10.4,-27 45 33,N ,  ,20.0, 0.150015,       ,       ,Refs
EF Tuc      ,            ,00 01 55.0,-67 07 44,DN,  ,15.0, 0.150000,       ,       ,Refs
NGC 104-CV1 ,V1 (47 Tuc) ,00 24 04.3,-72 04 58,NL,IP,19.9, 0.150000,       ,       ,Refs
NGC 6752-CV2,J1910-5958#2,19 10 52.0,-59 58 56,GC,DN,20.9, 0.150000,       ,       ,Refs
J0749-0549  ,            ,07 49 10.4,-05 49 26,NL,AM,19.0, 0.150000,       ,       ,Refs
LU Cam      ,J0558+6753  ,05 58 18.0,+67 53 46,NL,SH,17.0, 0.149969,       ,       ,Refs
AO Psc      ,H 2252-035  ,22 55 18.0,-03 10 40,NL,IP,13.3, 0.149626,       ,       ,Refs
V425 Cas    ,            ,23 03 46.6,+53 17 15,NL,VY,14.5, 0.149600,       ,       ,Refs
V1294 Tau   ,Tau 2       ,04 00 37.3,+06 22 46,NL,VY,14.6, 0.149500,       ,       ,Refs
0220+0603   ,            ,02 23 01.6,+06 16 52,NL,UX,15.6, 0.149208,M5-6/5 ,DAB    ,Refs
0455+8315   ,            ,05 06 48.5,+83 19 23,NL,VY,14.5, 0.148724,       ,       ,Refs
VZ Sex      ,J0944+0358  ,09 44 31.7,+03 58 05,DN,UG,16.0, 0.148700,M0-3/5 ,       ,Refs
1813+6122   ,            ,18 14 29.6,+61 23 35,NL,UX,15.2, 0.148000,       ,       ,Refs
V524 Hya    ,            ,09 20 09.5,+00 42 45,NL,SW,17.2, 0.147878,       ,       ,Refs
V2574 Oph   ,N Oph 2004  ,17 38 45.5,-23 28 19,Na,NS,    , 0.147700,       ,       ,Refs
0506+7725   ,            ,05 13 36.5,+77 28 44,NL,VY,15.1, 0.147700,       ,       ,Refs
V533 Her    ,N Her 1963  ,18 14 20.5,+41 51 23,Na,DQ,14.4, 0.147000,       ,       ,Refs
J0537-7034  ,            ,05 37 44.6,-70 33 47,SS,  ,19.7, 0.147000,       ,       ,Refs
J0942-1936  ,            ,09 42 52.3,-19 36 52,DN,  ,19.5, 0.147000,       ,       ,Refs
PX And      ,PG 0027+260 ,00 30 05.8,+26 17 27,NL,SW,15.0, 0.146353,       ,       ,Refs
J1220-1027  ,            ,12 20 59.8,-10 27 35,DN,  ,19.3, 0.146150,       ,       ,Refs
MV Leo      ,Leo 5       ,10 28 00.1,+21 48 14,DN,ZC,16.2, 0.146100,       ,       ,Refs
IM Eri      ,0422-2014   ,04 24 41.1,-20 07 12,NL,UX,11.1, 0.145635,       ,       ,Refs
CH CrB      ,            ,16 07 45.0,+36 23 21,NL,UX,18.0, 0.145500,       ,       ,Refs
V358 Aqr    ,USS 046     ,23 16 03.6,-05 27 08,NL,AM,15.7, 0.145452,       ,       ,Refs
V2468 Cyg   ,N Cyg 2008#1,19 58 33.4,+29 52 07,Na,  ,18.0, 0.145250,       ,       ,Refs
V500 Aql    ,N Aql 1943  ,19 52 28.0,+08 28 46,Na,  ,19.3, 0.145200,       ,       ,Refs
CP Lac      ,N Lac 1936  ,22 15 41.2,+55 37 02,Na,SW,15.3, 0.145143,       ,       ,Refs
RR Pic      ,N Pic 1925  ,06 35 36.1,-62 38 24,Nb,SW,12.0, 0.145025,       ,       ,Refs
J0756-1246  ,            ,07 56 48.9,-12 46 54,NL,SW,16.3, 0.145000,       ,       ,Refs
J1007-2017  ,            ,10 07 34.6,-20 17 33,NL,AM,16.0, 0.144864,       ,M3/5   ,Refs
VZ Scl      ,            ,23 50 09.2,-26 22 53,NL,VY,15.6, 0.144622,       ,       ,Refs
V751 Cyg    ,            ,20 52 12.8,+44 19 26,VY,SW,13.2, 0.144464,       ,       ,Refs
J2255-3449  ,            ,22 55 04.2,-34 49 18,NL,  ,15.7, 0.144461,       ,       ,Refs
V647 Aur    ,            ,06 36 32.6,+35 35 43,NL,IP,15.7, 0.144440,       ,       ,Refs
LN UMa      ,PG 1000+667 ,10 04 34.7,+66 29 15,NL,VY,14.6, 0.144400,       ,       ,Refs
V1101 Aql   ,            ,20 13 04.0,+15 35 47,DN,  ,14.3, 0.144200,       ,       ,Refs
UU Col      ,J0512-3241  ,05 12 13.1,-32 41 39,NL,IP,17.3, 0.144000,       ,       ,Refs
J1926+1322  ,            ,19 26 27.0,+13 22 05,NL,IP,17.3, 0.143700,       ,       ,Refs
J0617-3626  ,            ,06 17 53.8,-36 26 55,CV,  ,17.2, 0.143350,       ,       ,Refs
J2014+1529  ,            ,20 14 24.9,+15 29 30,NL,IP,19.3, 0.143300,       ,       ,Refs
EV Lyn      ,            ,07 54 43.0,+50 07 29,NL,SW,17.8, 0.143030,       ,       ,Refs
V584 Lyr    ,J1910+2856  ,19 10 59.4,+28 56 39,DN,  ,18.9, 0.142900,       ,       ,Refs
V909 Sgr    ,N Sgr 1941  ,18 25 52.3,-35 01 27,Na,  ,20.0, 0.142900,       ,       ,Refs
LS Cam      ,0551+7241   ,05 57 24.0,+72 41 52,NL,IP,16.7, 0.142500,       ,       ,Refs
V2289 Cyg   ,1H 1929+509 ,19 34 36.1,+51 07 41,DN,UG,19.0, 0.142000,       ,       ,Refs
V2400 Oph   ,J1712-2414  ,17 12 36.4,-24 14 45,NL,IP,14.2, 0.142000,       ,       ,Refs
J0746-0934  ,            ,07 46 55.5,-09 34 31,DN,  ,14.0, 0.141600,       ,       ,Refs
AQ Men      ,0511-7955   ,05 07 53.6,-79 51 24,NL,NS,14.8, 0.141471,       ,       ,Refs
MN Hya      ,J0929-2405  ,09 29 07.1,-24 05 05,NL,AM,16.5, 0.141244,M3-4/5 ,       ,Refs
V849 Her    ,PG 1633+115 ,16 35 45.7,+11 24 58,NL,  ,14.6, 0.141000,       ,       ,Refs
J1659+1927  ,            ,16 59 51.7,+19 27 46,NL,  ,16.8, 0.141000,       ,       ,Refs
AH Pic      ,0556-5935   ,05 57 12.7,-59 35 26,NL,UX,14.3, 0.140950,       ,       ,Refs
V388 Peg    ,J2157+0855  ,21 57 32.4,+08 55 14,NL,AM,17.5, 0.140630,       ,       ,Refs
J1422-0221  ,            ,14 22 56.4,-02 21 07,NL,AM,19.4, 0.140400,       ,       ,Refs
J0439-6809  ,            ,04 39 49.7,-68 09 02,SS,  ,21.6, 0.140300,       ,       ,Refs
